index,study_id,id,author,year,group,group_id,group_desc,url,country,region,city,time_MAX,time_50,time_MIN,detailed_time,exp_dur,fu_dur,age_base,age_SD,days_ps,days_cat,yrs_ps,stroke_type,nihss_base,mmse_base,mMmse_base,fim_base,brunstrom_base,frenchay_base,fac_base,barthel_base,mBarthel_base,motricity_base,BBS_base,BBT_base,gcs_base,MAS_base,sis_base,rivermead_base,ashworth_base,mAshworth_base,rankin_base,bdi_base,cesd_base,ops_base,terminal_dropout,outcome_name,outcome_extremity,ue_subscale,le_subscale,SCOAR_outcome,p_outcome_stated,itt_analysis,base_n,base_m,base_sd,difference_score,term_n,term_m,term_sd,diff_base,diff_term,fu_n,fu_m,fu_sd,est_corr,term_diff,term_s_diff,fu_diff,fu_s_diff,term_d,fu_d,j_corr_factor,term_g,fu_g,term_Vd,fu_Vd,term_Vg,fu_Vg,chck2,notes,therapy_bucket,norm_rescale_factor,norm_rescaled,transcription_corrected,row_score,fam_pref,sigma_F_imputed,term_g_used,term_g_derived,final_scale,unit_role,exclusion_reason,implied_dist_m,age_sd_imputed,dose_imputed,pooled_sd_metadata
518,145,ribeiro2013,ribeiro,2013,exp,331,body weight supported treadmill training,http://www.ncbi.nlm.nih.gov/pubmed/23172402,brasil,,natal,6.0,6.0,6.0,1.0,28.0,,56.45,8.31,1000.8,>1year,2.741917808,1,4.72,,,68.3,,,3.72,,,,,,,,,,,1.36,,,,,1.0,10mwt,le,,speed,USU,0.0,0.0,11,0.5,0.2,0.0,11.0,0.5,0.2,,,,,,0.5,0.0,0.2,,0.2,0.0,,0.923076923,0.0,,0.090909091,,0.077461001,,,,Treadmill / BWSTT,1.0,False,False,7,3,False,0.0,False,Gait_speed,native,,10.0,False,False,0.2
521,147,richards2004,richards,2004,exp,334,treadmill training and isokinetic exercise,http://www.ncbi.nlm.nih.gov/pubmed/15537991,canada,quebec,quebec city,39.1,39.1,39.1,2.0,56.0,,62.9,12.0,52.0,<90days,0.142465753,1,,,,,,,,,,,,,,,,,,,,,,,2.0,gait speed SSV,le,,speed,lohse,1.0,1.0,32,52.77,33.25,,32.0,26.51,14.22,,,32.0,62.17,34.94,0.5,26.26,25.57118398,35.66,26.67406981,1.026937197,1.336878859,0.975609756,-1.001889948,1.304272057,0.047728125,0.059175704,0.045428317,0.056324287,,,Treadmill / BWSTT,1.0,False,True,7,3,False,-1.001889948,False,Gait_speed,time,,10.0,False,False,25.571183977281926
522,147,richards2004,richards,2004,ctrl,335,CPT,http://www.ncbi.nlm.nih.gov/pubmed/15537991,canada,quebec,quebec city,44.9,44.9,44.9,2.0,56.0,,60.7,12.0,52.6,<90days,0.144109589,1,,,,,,,,,,,,,,,,,,,,,,,1.0,gait speed SSV,le,,speed,lohse,1.0,1.0,31,56.14,36.63,,31.0,24.34,12.29,,,31.0,67.71,33.73,0.5,31.8,27.32033126,43.37,25.38461148,1.163968317,1.708515414,0.974789916,-1.134624578,1.665443597,0.054110036,0.079339112,0.051416189,0.075389244,,,Conventional / standard,1.0,False,True,7,3,False,-1.134624578,False,Gait_speed,time,,10.0,False,False,27.32033125714255
562,155,schauer2003,schauer,2003,ctrl,351,conventional gait therapy,http://www.ncbi.nlm.nih.gov/pubmed/14606736,germany,,berlin,16.25,16.25,16.25,1.0,21.0,,61.0,10.4,67.0,<90days,0.183561644,0,,,,,,,,,,,,,,,,,,,,,,,0.0,gait speed,le,,speed,lohse,0.0,0.0,12,0.77,0.3,,12.0,0.8,0.35,,,,,,0.5,0.03,0.32596012,,0.3,0.092035799,,0.930232558,0.085614696,,0.083686275,,0.072416463,,,,Conventional / standard,1.0,False,False,7,3,False,0.085614696,False,Gait_speed,native,,10.0,True,False,0.32596012026013244
563,155,schauer2003,schauer,2003,exp,352,musical motor therapy,http://www.ncbi.nlm.nih.gov/pubmed/14606736,germany,,berlin,16.25,16.25,16.25,1.0,21.0,,59.0,8.7,53.0,<90days,0.145205479,0,,,,,,,,,,,,,,,,,,,,,,,0.0,gait speed,le,,speed,lohse,0.0,0.0,11,0.64,0.3,,11.0,0.81,0.29,,,,,,0.5,0.17,0.29504237,,0.3,0.57618843,,0.923076923,0.531866244,,0.105999687,,0.09031926,,,,Other / unclassified,1.0,False,False,7,3,False,0.531866244,False,Gait_speed,native,,10.0,True,False,0.2950423698386386
566,157,schwartz2009,schwartz,2009,ctrl,355,regular physiotherapy,http://www.ncbi.nlm.nih.gov/pubmed/19627940,israel,,jerusalem,20.0,20.0,20.0,2.0,42.0,,62.0,7.5,21.6,<90days,0.059178082,1,10.5,,,,,,,,,,,,,,,,,,,,,,3.0,FIM motor,,,,lohse,0.0,1.0,30,42.8,11.0,,30.0,60.3,14.8,,,,,,0.5,17.5,13.03917175,,11.0,1.342109785,,0.973913043,1.307098226,,0.063354311,,0.060091983,,,,Other / unclassified,1.0,False,False,7,1,False,1.307098226,False,FIM_Motor,native,,,False,False,13.039171752837678
567,157,schwartz2009,schwartz,2009,exp,356,robot assisted gait training,http://www.ncbi.nlm.nih.gov/pubmed/19627940,israel,,jerusalem,20.0,20.0,20.0,2.0,42.0,,65.0,8.5,23.6,<90days,0.064657534,1,10.4,,,,,,,,,,,,,,,,,,,,,,8.0,FIM motor,,,,lohse,0.0,1.0,37,44.1,13.1,,37.0,66.9,15.6,,,,,,0.5,22.8,14.40433962,,13.1,1.582856319,,0.979020979,1.549649543,,0.060884245,,0.058356458,,,,Robot-assisted,1.0,False,False,7,1,False,1.549649543,False,FIM_Motor,native,,,False,False,14.404339623877243
580,159,shin2010,shin,2010,ctrl,360,no specified physical therapy,http://www.koreascience.or.kr/article/ArticleFullRecord.jsp?cn=SHGSCZ_2010_v11n1_368,south korea,,asan,0.0,0.0,0.0,1.0,42.0,,60.69,9.23,2145.0,>1year,5.876712329,1,,24.19,,,,,,,,,,,,,,,,,,,,,0.0,10mwt,le,,speed,lohse,0.0,0.0,16,0.87,0.19,,16.0,0.88,0.19,,,,,,0.5,0.01,0.19,,0.19,0.052631579,,0.949152542,0.049955397,,0.062586565,,0.056383645,,,,Conventional / standard,1.0,False,False,7,3,False,0.049955397,False,Gait_speed,native,,10.0,False,False,0.19
581,159,shin2010,shin,2010,exp,361,game-based therapy using PS2 eyetoy,http://www.koreascience.or.kr/article/ArticleFullRecord.jsp?cn=SHGSCZ_2010_v11n1_368,south korea,,asan,18.0,18.0,18.0,1.0,42.0,,60.75,7.53,2075.7,>1year,5.686849315,1,,25.06,,,,,,,,,,,,,,,,,,,,,0.0,10mwt,le,,speed,lohse,0.0,0.0,16,0.86,0.32,,16.0,1.1,0.34,,,,,,0.5,0.24,0.33015148,,0.32,0.726939039,,0.949152542,0.689976037,,0.079013761,,0.071182751,,,,Other / unclassified,1.0,False,False,7,3,False,0.689976037,False,Gait_speed,native,,10.0,False,False,0.3301514803843836
599,166,sullivan2002,sullivan,2002,exp,375,BWSTT at slow speed,http://www.ncbi.nlm.nih.gov/pubmed/11994808,usa,CA,los angeles,4.0,4.0,4.0,3.0,28.0,118.0,70.9,10.125,675.0,>1year,1.849315068,0,,27,,,,,,,,,,,,,,,,,,,,,0.0,10mwt SSV,le,,speed,lohse,1.0,0.0,8,0.53,0.29,,8.0,0.59,0.36,,,8.0,0.69,0.45,0.5,0.06,0.326879183,0.16,0.378549865,0.183554057,0.422665585,0.888888889,0.163159161,0.375702742,0.127105756,0.136165387,0.100429239,0.107587467,,,Treadmill / BWSTT,1.0,False,False,7,3,False,0.163159161,False,Gait_speed,native,,10.0,True,False,0.3268791825736231
600,166,sullivan2002,sullivan,2002,exp,376,BWSTT at high speed,http://www.ncbi.nlm.nih.gov/pubmed/11994808,usa,CA,los angeles,4.0,4.0,4.0,3.0,28.0,118.0,64.4,10.125,816.0,>1year,2.235616438,0,,27,,,,,,,,,,,,,,,,,,,,,0.0,10mwt SSV,le,,speed,lohse,1.0,0.0,8,0.57,0.26,,8.0,0.72,0.34,,,8.0,0.78,0.42,0.5,0.15,0.302654919,0.21,0.349284984,0.49561395,0.601228251,0.888888889,0.440545734,0.534425112,0.140352074,0.147592213,0.110895466,0.11661607,,,Treadmill / BWSTT,1.0,False,False,7,3,False,0.440545734,False,Gait_speed,native,,10.0,True,False,0.30265491900843117
601,166,sullivan2002,sullivan,2002,exp,377,BWSTT at variable speed,http://www.ncbi.nlm.nih.gov/pubmed/11994808,usa,CA,los angeles,4.0,4.0,4.0,3.0,28.0,118.0,66.5,10.125,828.0,>1year,2.268493151,0,,28.7,,,,,,,,,,,,,,,,,,,,,0.0,10mwt SSV,le,,speed,lohse,1.0,0.0,8,0.52,0.31,,8.0,0.59,0.34,,,8.0,0.63,0.4,0.5,0.07,0.32534597,0.11,0.357840747,0.215155578,0.307399314,0.888888889,0.191249402,0.273243835,0.127893245,0.130905896,0.101051453,0.103431819,,,Treadmill / BWSTT,1.0,False,False,7,3,False,0.191249402,False,Gait_speed,native,,10.0,True,False,0.32534596969994883
602,167,sullivan2007,sullivan,2007,exp,378,BWSTT with upper extremity ergometry,http://www.ncbi.nlm.nih.gov/pubmed/17895349,usa,CA,los angeles,24.0,24.0,24.0,1.0,42.0,222.0,60.6,13.7,825.0,>1year,2.260273973,1,,,,,,,,,,,42.1,,,,,,,,,,,,1.0,10mwt SSV,le,,speed,lohse,1.0,1.0,20,0.5,0.23,,19.0,0.63,0.32,,,19.0,0.65,0.33,0.5,0.13,0.277454647,0.15,0.28309582,0.468545045,0.529855934,0.96,0.449803243,0.508661696,0.055488361,0.057018683,0.051138074,0.052548418,,,Treadmill / BWSTT,1.0,False,False,7,3,False,0.449803243,False,Gait_speed,native,,10.0,False,False,0.27865749586185545
603,167,sullivan2007,sullivan,2007,exp,379,cycling with upper extremity ergomety,http://www.ncbi.nlm.nih.gov/pubmed/17895349,usa,CA,los angeles,24.0,24.0,24.0,1.0,42.0,222.0,63.4,8.6,852.0,>1year,2.334246575,1,,,,,,,,,,,42.6,,,,,,,,,,,,2.0,10mwt SSV,le,,speed,lohse,1.0,1.0,20,0.43,0.25,,18.0,0.44,0.28,,,14.0,0.43,0.26,0.5,0.01,0.264590879,0.0,0.254109966,0.037794198,0.0,0.96,0.03628243,0.0,0.05003571,0.05,0.04611291,0.04608,,,Aerobic / fitness,1.0,False,False,7,3,False,0.03628243,False,Gait_speed,native,,10.0,False,False,0.26542418879974
604,167,sullivan2007,sullivan,2007,exp,380,BWSTT with cycling,http://www.ncbi.nlm.nih.gov/pubmed/17895349,usa,CA,los angeles,24.0,24.0,24.0,1.0,42.0,222.0,58.2,15.2,693.0,>1year,1.898630137,1,,,,,,,,,,,45.2,,,,,,,,,,,,2.0,10mwt SSV,le,,speed,lohse,1.0,1.0,20,0.54,0.28,,18.0,0.63,0.33,,,16.0,0.64,0.32,0.5,0.09,0.304635483,0.1,0.298308959,0.295435052,0.335222918,0.96,0.28361765,0.321814002,0.052182047,0.05280936,0.048090974,0.048669106,,,Treadmill / BWSTT,1.0,False,False,7,3,False,0.28361765,False,Gait_speed,native,,10.0,False,False,0.30602287496198716
605,167,sullivan2007,sullivan,2007,exp,381,BWSTT with progessive lower extremity resistance training,http://www.ncbi.nlm.nih.gov/pubmed/17895349,usa,CA,los angeles,24.0,24.0,24.0,1.0,42.0,222.0,61.4,11.2,621.0,>1year,1.701369863,1,,,,,,,,,,,40.4,,,,,,,,,,,,4.0,10mwt SSV,le,,speed,lohse,1.0,1.0,20,0.57,0.35,,16.0,0.67,0.37,,,14.0,0.77,0.3,0.5,0.1,0.358960919,0.2,0.330600779,0.278581859,0.604959252,0.96,0.267438585,0.580760882,0.051940196,0.059149392,0.047868085,0.05451208,,,Treadmill / BWSTT,1.0,False,False,7,3,False,0.267438585,False,Gait_speed,native,,10.0,False,False,0.3601388621073821
618,169,sungkarat2011,sungkarat,2011,ctrl,386,conventional programme of gait retraining,http://www.ncbi.nlm.nih.gov/pubmed/21148267,thailand,,chiang mai,15.0,15.0,15.0,1.0,21.0,,53.83,11.18,141.0,<1year,0.38630137,0,,,,,,,,,,,,,,,,,,,,,,3.44,2.0,gait speed,le,,speed,lohse,1.0,0.0,18,22.24,9.1,,18.0,26.3,8.5,,,,,,0.5,4.06,8.805112151,,9.1,0.461095774,,0.955223881,0.440449694,,0.06146137,,0.05608059,,,,Conventional / standard,1.0,False,False,7,3,False,0.440449694,False,Gait_speed,time,,10.0,False,False,8.805112151472008
619,169,sungkarat2011,sungkarat,2011,exp,387,gait training with a sensored insole and augmented feedback,http://www.ncbi.nlm.nih.gov/pubmed/21148267,thailand,,chiang mai,15.0,15.0,15.0,1.0,21.0,,52.112,7.17,118.2,<1year,0.323835616,0,,,,,,,,,,,,,,,,,,,,,,3.55,3.0,gait speed,le,,speed,lohse,1.0,0.0,17,23.52,10.8,,17.0,35.09,13.6,,,,,,0.5,11.57,12.28006515,,10.8,0.942177412,,0.952380952,0.897311821,,0.084932302,,0.077036102,,,,Overground / gait training,1.0,False,False,7,3,False,0.897311821,False,Gait_speed,time,,10.0,False,False,12.280065146407
624,171,tanaka2012,tanaka,2012,ctrl,390,no therapy,http://www.ncbi.nlm.nih.gov/pubmed/22275464,japan,,tsukuba,0.0,0.0,0.0,1.0,28.0,56.0,60.0,8.5,1962.0,>1year,5.375342466,1,,>23,,78.2,,,,,,,,,,,,,,,,,,,0.0,gait speed,le,,speed,lohse,0.0,0.0,5,0.86,0.16,,5.0,0.88,0.16,,,,,,0.5,0.02,0.16,,0.16,0.125,,0.8,0.1,,0.2015625,,0.129,,Yes,,No treatment / control,1.0,False,False,7,3,False,0.1,False,Gait_speed,native,,10.0,False,False,0.16
625,171,tanaka2012,tanaka,2012,exp,391,GaitMaster 4,http://www.ncbi.nlm.nih.gov/pubmed/22275464,japan,,tsukuba,4.0,4.0,4.0,1.0,28.0,56.0,63.0,10.0,1662.0,>1year,4.553424658,1,,>23,,79.9,,,,,,,,,,,,,,,,,,,0.0,gait speed,le,,speed,lohse,0.0,0.0,7,0.75,0.42,,7.0,0.85,0.45,,,,,,0.5,0.1,0.435258544,,0.42,0.229748506,,0.869565217,0.199781309,,0.146627455,,0.110871422,,Yes,,Other / unclassified,1.0,False,False,7,3,False,0.199781309,False,Gait_speed,native,,10.0,False,False,0.4352585438564073
666,184,verma2011,verma,2011,ctrl,418,standard therapy group,http://www.ncbi.nlm.nih.gov/pubmed/22120031,india,,lucknow,8.12,8.12,8.12,1.0,14.0,42.0,55.07,6.8,46.2,<90days,0.126575342,1,4.6,26.67,,,,,,,,,,,,,,,,,,,,,0.0,10mwt,le,,speed,USU,0.0,1.0,15,0.35,0.14,0.0,15.0,0.43,0.14,0.0,0.0,15.0,0.45,0.15,0.5,0.08,0.14,0.1,0.145086181,0.571428571,0.689245517,0.945454545,0.54025974,0.651650307,0.07755102,0.082501979,0.069321639,0.073747224,,,Conventional / standard,1.0,False,False,7,3,False,0.54025974,False,Gait_speed,native,,10.0,False,False,0.14
667,184,verma2011,verma,2011,exp,419,task oriented circuit training,http://www.ncbi.nlm.nih.gov/pubmed/22120031,india,,lucknow,8.12,8.12,8.12,1.0,14.0,42.0,53.27,8.53,42.49,<90days,0.116410959,1,5.47,26.87,,,,,,,,,,,,,,,,,,,,,0.0,10mwt,le,,speed,USU,0.0,1.0,15,0.41,0.08,0.0,15.0,0.58,0.14,0.0,0.0,15.0,0.62,0.14,0.5,0.17,0.114017543,0.21,0.114017543,1.490998633,1.841821841,0.945454545,1.409671435,1.741358831,0.140769231,0.17974359,0.125831405,0.160669972,,,Task-specific / repetitive,1.0,False,False,7,3,False,1.409671435,False,Gait_speed,native,,10.0,False,False,0.1140175425099138
678,187,wade1992,wade,1992,ctrl,424,delayed physiotherapy,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1881332/,uk,,oxford,0.0,0.0,0.0,1.0,,,72.0,8.7,1788.0,>1year,4.898630137,0,,,,,,,4,,,,,,,,,,,,,,,,4.0,10mwt,le,,speed,lohse,0.0,0.0,43,44.3,37.2,,39.0,47.9,38.6,,,,,,0.5,3.6,37.87145363,,37.2,-0.095058406,,0.982035928,-0.09335077,,0.023360885,,0.02252911,,,sign reversed for time measure; data only taken up to the 28 week assessment,Other / unclassified,1.0,False,False,7,3,False,-0.09335077,False,Gait_speed,time,,10.0,True,False,37.90646382874562
679,187,wade1992,wade,1992,exp,425,immediate physical therapy,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1881332/,uk,,oxford,,20.0,,,,,72.3,10.4,1593.0,>1year,4.364383562,0,,,,,,,3.85,,,,,,,,,,,,,,,,1.0,10mwt,le,,speed,lohse,0.0,0.0,46,46.9,27.8,,44.0,42.4,26.3,,,42.0,48.7,34.2,0.5,-4.5,27.07742896,1.8,31.01631979,0.166190077,-0.058033964,0.983240223,0.163404768,-0.057061328,0.022039338,0.021775738,0.02130678,0.021051942,,sign reversed for time measure,Conventional / standard,1.0,False,False,7,3,False,0.163404768,False,Gait_speed,time,,10.0,True,True,27.06039541470154
689,190,walker2000,walker,2000,exp,430,balance training with visual feedback + CPT,http://www.ncbi.nlm.nih.gov/pubmed/10960936,canada,ontario,kingston,70.0,70.0,70.0,1.0,39.3,69.3,65.4,13.8,40.9,<90days,0.112054795,0,,,,,,,,,,,,,,,,,,,,,,,,gait speed,le,,speed,USU,,0.0,16,0.32,0.28,0.0,16.0,0.57,0.34,0.0,0.0,16.0,0.63,0.36,0.5,0.25,0.31144823,0.31,0.32249031,0.802701624,0.961269193,0.949152542,0.761886287,0.912391099,0.082635309,0.091376202,0.074445369,0.082319957,,,Conventional / standard,1.0,False,False,7,3,False,0.761886287,False,Gait_speed,native,,10.0,False,False,0.31144823004794875
690,190,walker2000,walker,2000,ctrl,431,conventional PT and OT with additional balance training,http://www.ncbi.nlm.nih.gov/pubmed/10960936,canada,ontario,kingston,65.0,65.0,65.0,1.0,36.7,66.7,62.4,13.3,35.1,<90days,0.096164384,0,,,,,,,,,,,,,,,,,,,,,,,,gait speed,le,,speed,USU,,0.0,16,0.47,0.42,0.0,16.0,0.89,0.65,0.0,0.0,16.0,0.93,0.58,0.5,0.42,0.547220248,0.46,0.506359556,0.767515459,0.908445381,0.949152542,0.728489249,0.862253243,0.080908749,0.088289782,0.072889928,0.07953943,,,Conventional / standard,1.0,False,False,7,3,False,0.728489249,False,Gait_speed,native,,10.0,False,False,0.547220248163388
691,190,walker2000,walker,2000,ctrl,432,conventional PT and OT,http://www.ncbi.nlm.nih.gov/pubmed/10960936,canada,ontario,kingston,52.0,52.0,52.0,1.0,36.6,66.6,65.8,9.9,42.0,<90days,0.115068493,0,,,,,,,,,,,,,,,,,,,,,,,,gait speed,le,,speed,USU,,0.0,14,0.48,0.38,0.0,14.0,0.74,0.53,0.0,0.0,14.0,0.82,0.6,0.5,0.26,0.461139892,0.34,0.502195181,0.56382023,0.677027603,0.941176471,0.530654334,0.63720245,0.082781902,0.087798799,0.073329297,0.077773331,,,Conventional / standard,1.0,False,False,7,3,False,0.530654334,False,Gait_speed,native,,10.0,False,False,0.4611398920067532
699,192,werner1996,werner,1996,exp,437,intensive outpatient therapy,http://www.ncbi.nlm.nih.gov/pubmed/8630191,usa,MI,ann arbor,96.0,96.0,96.0,1.0,84.0,270.0,59.0,10.0,1058.5,>1year,2.9,0,,,,75,,,,,,,,,,,,,,,,10.0,,,5.0,fim,,,,lohse,0.0,0.0,33,75.0,14.0,1.0,33.0,81.6,15.386,0.0,1.0,33.0,82.3,,0.5,6.6,14.0,7.3,14.0,0.471428571,0.521428571,0.976377953,0.460292463,0.509111361,0.033670377,0.034422542,0.032098439,0.032815488,,,FES / e-stim,1.0,False,False,6,2,True,0.460292463,False,FIM_Total,native,,,True,False,14.709333703468692
700,192,werner1996,werner,1996,ctrl,438,no outpatient therapy,http://www.ncbi.nlm.nih.gov/pubmed/8630191,usa,MI,ann arbor,0.0,0.0,0.0,1.0,84.0,270.0,66.0,7.74,1204.5,>1year,3.3,0,,,,70,,,,,,,,,,,,,,,,13.0,,,0.0,fim,,,,lohse,0.0,0.0,16,70.0,19.0,1.0,16.0,71.5,20.881,0.0,1.0,16.0,70.5,,0.5,1.5,19.0,0.5,19.0,0.078947368,0.026315789,0.949152542,0.074933095,0.024977698,0.062694771,0.062521641,0.056481127,0.056325156,,,Other / unclassified,1.0,False,False,6,2,True,0.074933095,False,FIM_Total,native,,,True,False,19.962667168993224
701,193,werner2002,werner,2002,exp,439,robotic gait trainer therapy,http://www.ncbi.nlm.nih.gov/pubmed/12468788,germany,,berlin,3.33,3.33,3.33,3.0,14.0,,60.3,8.6,48.51,<90days,0.13290411,1,,,,,,,1.1,,,,,,,,,2.0,1,,,,,,,fac,le,,,lohse,1.0,0.0,15,1.1,0.6,,15.0,2.1,0.9,,,,,,0.5,1.0,0.764852927,,0.6,1.307440901,,0.945454545,1.236125943,,0.123646724,,0.110525865,,,Data are taken up to the cross-over point,Robot-assisted,1.0,False,False,7,3,False,1.236125943,False,Gait_FAC,native,,,False,False,0.7648529270389177
702,193,werner2002,werner,2002,exp,440,treadmill therapy,http://www.ncbi.nlm.nih.gov/pubmed/12468788,germany,,berlin,3.33,3.33,3.33,3.0,14.0,,59.7,10.2,51.52,<90days,0.141150685,1,,,,,,,1.2,,,,,,,,,2.0,1,,,,,,,fac,le,,,lohse,1.0,0.0,15,1.2,0.59,,14.0,1.6,0.74,,,,,,0.5,0.4,0.666449965,,0.59,0.600195095,,0.945454545,0.567457181,,0.078674472,,0.070325875,,,,Treadmill / BWSTT,1.0,False,False,7,3,False,0.567457181,False,Gait_FAC,native,,,False,False,0.669215959164155
705,194,westlake2009,westlake,2009,ctrl,441,manually assisted BWSTT,http://www.ncbi.nlm.nih.gov/pubmed/19523207,usa,CA,san francisco,6.0,6.0,6.0,3.0,28.0,,55.1,13.6,1104.0,>1year,3.024657534,0,,,,,,,,,,,,,,,,,,,,,,,0.0,gait speed 4.3m SSV,le,,speed,lohse,1.0,0.0,8,0.62,0.28,,8.0,0.65,0.29,,,,,,0.5,0.03,0.285043856,,0.28,0.105246962,,0.888888889,0.093552855,,0.125692308,,0.099312441,,,,Treadmill / BWSTT,1.0,False,False,7,3,False,0.093552855,False,Gait_speed,native,,4.3,False,False,0.2850438562747845
706,194,westlake2009,westlake,2009,exp,442,gait training with lokomat,http://www.ncbi.nlm.nih.gov/pubmed/19523207,usa,CA,san francisco,6.0,6.0,6.0,3.0,28.0,,58.6,16.9,1314.0,>1year,3.6,0,,,,,,,,,,,,,,,,,,,,,,,0.0,gait speed 4.3m SSV,le,,speed,lohse,1.0,0.0,8,0.62,0.31,,8.0,0.72,0.38,,,,,,0.5,0.1,0.346770818,,0.31,0.2883749,,0.888888889,0.256333245,,0.130197505,,0.102872103,,,,Robot-assisted,1.0,False,False,7,3,False,0.256333245,False,Gait_speed,native,,4.3,False,False,0.34677081768799406
734,204,yang2005,yang,2005,ctrl,464,conventional therapy,http://www.ncbi.nlm.nih.gov/pubmed/15859527,taiwan,,taipei,6.0,6.0,6.0,1.0,21.0,,63.42,10.4,219.9,<1year,0.602465753,0,,,,,3.583333333,,,,,,,,,,,,,,,,,,0.0,gait speed 9m SSV,le,,speed,lohse,0.0,0.0,12,25.97,14.86,,12.0,29.62,16.35,,,,,,0.5,3.65,15.62277344,,14.86,0.233633293,,0.930232558,0.217333296,,0.085607688,,0.074079124,,Yes,,Conventional / standard,1.0,False,False,7,3,False,0.217333296,False,Gait_speed,time,,9.0,True,False,15.622773441357973
735,204,yang2005,yang,2005,exp,465,CPT + additional backward walking,http://www.ncbi.nlm.nih.gov/pubmed/15859527,taiwan,,taipei,10.5,10.5,10.5,1.0,21.0,,63.38,10.4,163.5,<1year,0.447945205,0,,,,,3.615384615,,,,,,,,,,,,,,,,,,0.0,gait speed 9m SSV,le,,speed,lohse,0.0,0.0,13,24.83,6.69,,13.0,33.42,5.2,,,,,,0.5,8.59,5.991498143,,6.69,1.433698183,,0.936170213,1.342185533,,0.155980403,,0.136703513,,Yes,,Conventional / standard,1.0,False,False,7,3,False,1.342185533,False,Gait_speed,time,,9.0,True,False,5.991498143202583
736,205,yang2006,yang,2006,ctrl,466,usual care/no rehabilitation (chronic stage),http://www.ncbi.nlm.nih.gov/pubmed/17008338,taiwan,,taipei,0.0,0.0,0.0,1.0,28.0,,60.0,10.4,1920.0,>1year,5.260273973,0,,,,,,,,,,,,,,,,,,,,,,,0.0,gait speed 3.7m SSV,le,,speed,lohse,0.0,0.0,24,77.9,14.3,,24.0,77.7,15.4,,,,,,0.5,-0.2,14.86018169,,14.3,-0.013458786,,0.967032967,-0.013015089,,0.04167044,,0.038968227,,,,Conventional / standard,1.0,False,False,7,3,False,-0.013015089,False,Gait_speed,time,,3.7,False,False,14.860181694716927
737,205,yang2006,yang,2006,exp,467,task oriented progessive resistance training,http://www.ncbi.nlm.nih.gov/pubmed/17008338,taiwan,,taipei,6.0,6.0,6.0,1.0,28.0,,56.8,10.2,1881.0,>1year,5.153424658,0,,,,,,,,,,,,,,,,,,,,,,,0.0,gait speed 3.7m SSV,le,,speed,lohse,0.0,0.0,24,84.0,12.7,,24.0,92.5,13.5,,,,,,0.5,8.5,13.10610545,,12.7,0.648552694,,0.967032967,0.627171836,,0.050429596,,0.047159376,,,,Strength / resistance,1.0,False,False,7,3,False,0.627171836,False,Gait_speed,time,,3.7,False,False,13.106105447462262
742,206,yang2008,yang,2008,ctrl,468,treadmill training,http://www.ncbi.nlm.nih.gov/pubmed/18358724,taiwan,,taipei,3.0,3.0,3.0,1.0,21.0,51.0,60.89,9.25,2226.5,>1year,6.1,0,,,,,,,,,,,,,,,,,,,,,,,0.0,gait speed 12m MAX,le,,speed,lohse,0.0,0.0,12,0.71,0.57,,9.0,0.73,0.63,,,9.0,0.77,0.71,0.5,0.02,0.595999823,0.06,0.63273425,0.033557057,0.09482654,0.930232558,0.031215867,0.088210735,0.083380253,0.083708003,0.072151652,0.072435265,,,Treadmill / BWSTT,1.0,False,False,7,3,False,0.031215867,False,Gait_speed,native,,12.0,False,False,0.6007495318350236
743,206,yang2008,yang,2008,exp,469,virtual reality treadmill training,http://www.ncbi.nlm.nih.gov/pubmed/18358724,taiwan,,taipei,3.0,3.0,3.0,1.0,21.0,51.0,55.45,12.15,2164.45,>1year,5.93,0,,,,,,,,,,,,,,,,,,,,,,,0.0,gait speed 12m MAX,le,,speed,lohse,0.0,0.0,12,0.69,0.3,,11.0,0.85,0.31,,,11.0,0.86,0.33,0.5,0.16,0.304802825,0.17,0.314642654,0.524929519,0.540295467,0.930232558,0.488306529,0.502600435,0.094814625,0.095496633,0.082046187,0.082636351,,,Virtual reality,1.0,False,False,7,3,False,0.488306529,False,Gait_speed,native,,12.0,False,False,0.3050409808533929
750,209,yavuzer2006,yavuzer,2006,ctrl,476,conventional therapy,http://www.ncbi.nlm.nih.gov/pubmed/17065539,turkey,,ankara,,20.0,,1.0,56.0,,62.1,10.4,165.0,<1year,0.452054795,1,,,,85.4,4.2,,,,,,,,,,,,,,,,,,6.0,gait speed,le,,speed,lohse,0.0,0.0,19,0.44,0.2,,19.0,0.45,0.2,,,,,,0.5,0.01,0.2,,0.2,0.05,,0.957746479,0.047887324,,0.052697368,,0.048338153,,Yes,,Conventional / standard,1.0,False,False,7,3,False,0.047887324,False,Gait_speed,native,,10.0,True,True,0.2
