index,study_id,id,author,year,group,group_id,group_desc,url,country,region,city,time_MAX,time_50,time_MIN,detailed_time,exp_dur,fu_dur,age_base,age_SD,days_ps,days_cat,yrs_ps,stroke_type,nihss_base,mmse_base,mMmse_base,fim_base,brunstrom_base,frenchay_base,fac_base,barthel_base,mBarthel_base,motricity_base,BBS_base,BBT_base,gcs_base,MAS_base,sis_base,rivermead_base,ashworth_base,mAshworth_base,rankin_base,bdi_base,cesd_base,ops_base,terminal_dropout,outcome_name,outcome_extremity,ue_subscale,le_subscale,SCOAR_outcome,p_outcome_stated,itt_analysis,base_n,base_m,base_sd,difference_score,term_n,term_m,term_sd,diff_base,diff_term,fu_n,fu_m,fu_sd,est_corr,term_diff,term_s_diff,fu_diff,fu_s_diff,term_d,fu_d,j_corr_factor,term_g,fu_g,term_Vd,fu_Vd,term_Vg,fu_Vg,chck2,notes,therapy_bucket,norm_rescale_factor,norm_rescaled,transcription_corrected,row_score,fam_pref,sigma_F_imputed,term_g_used,term_g_derived,final_scale,unit_role,exclusion_reason,implied_dist_m,age_sd_imputed,dose_imputed,pooled_sd_metadata
397,115,ng2008,ng,2008,exp,256,electromechanical gait training,http://stroke.ahajournals.org/content/39/1/154.short,china,,hong kong,50.0,50.0,50.0,1.0,28.0,180.0,66.6,11.3,18.9,<90days,0.051780822,1,,>21,,,,,<3,,,,,,,,,,,,,,,,0.0,fim,,,,lohse,0.0,1.0,17,78.6,12.0,,17.0,103.2,17.6,,,17.0,107.2,15.1,0.5,24.6,15.06253631,28.6,13.638365,1.633191084,2.097025559,0.952380952,1.55542008,1.997167199,0.137273915,0.188162241,0.124511488,0.170668699,,,Overground / gait training,1.0,False,False,7,2,False,1.55542008,False,FIM_Total,native,,,False,False,15.062536307010186
398,115,ng2008,ng,2008,exp,257,electromechanical gait training + FES,http://stroke.ahajournals.org/content/39/1/154.short,china,,hong kong,50.0,50.0,50.0,1.0,28.0,180.0,62.0,10.0,16.1,<90days,0.044109589,1,,>21,,,,,<3,,,,,,,,,,,,,,,,0.0,fim,,,,lohse,0.0,1.0,16,65.0,16.8,,16.0,86.4,20.5,,,16.0,94.0,20.2,0.5,21.4,18.74153142,29.0,18.57794391,1.141849058,1.560990825,0.949152542,1.083788936,1.48161841,0.103244352,0.138646636,0.093011861,0.124905444,,,FES / e-stim,1.0,False,False,7,2,False,1.083788936,False,FIM_Total,native,,,False,False,18.741531420884474
402,116,nilsson2001,nilsson,2001,ctrl,258,overground walking training,http://www.ncbi.nlm.nih.gov/pubmed/11594641,sweden,,gothenburg,47.14,47.14,47.14,1.0,66.0,280.0,56.0,12.1,17.0,<90days,0.046575342,1,8.0,,,,,,0,,,,23.3,,,,,,,,,,,,1.0,fim,,,,lohse,0.0,0.0,37,56.1,18.0,1.0,36.0,76.9,19.782,1.0,0.0,32.0,81.9,,0.5,20.8,18.0,25.8,18.0,1.155555556,1.433333333,0.979020979,1.131313131,1.403263403,0.045071738,0.05478979,0.043200453,0.052515032,,,Overground / gait training,1.0,False,False,6,2,True,1.131313131,False,FIM_Total,native,,,False,False,18.91200047588832
403,116,nilsson2001,nilsson,2001,exp,259,body-weight supported treadmill training,http://www.ncbi.nlm.nih.gov/pubmed/11594641,sweden,,gothenburg,48.57,48.57,48.57,1.0,68.0,180.0,54.0,12.4,22.0,<90days,0.060273973,1,9.5,,,,,,0,,,,23.9,,,,,,,,,,,,3.0,fim,,,,lohse,0.0,0.0,36,53.7,17.7,1.0,33.0,78.8,19.452299999999997,1.0,0.0,28.0,80.3,,0.5,25.1,17.7,26.6,17.7,1.418079096,1.502824859,0.978417266,1.387473072,1.47038979,0.055707616,0.059145591,0.05332892,0.056620095,,,Treadmill / BWSTT,1.0,False,False,6,2,True,1.387473072,False,FIM_Total,native,,,False,False,18.596800467956847
410,118,olawale2011,olawale,2011,ctrl,262,conventional physiotherapy,http://www.ncbi.nlm.nih.gov/pubmed/21427155,nigeria,,lagos,36.0,36.0,36.0,1.0,84.0,,57.2,5.9,309.0,<1year,0.846575342,0,,,,,,,,,,,,,,,,,,,,,,,3.0,10mwt SSV,le,,speed,lohse,1.0,0.0,20,26.39,11.9,,20.0,24.65,10.49,,,,,,0.5,-1.74,11.21717656,,11.9,0.155119249,,0.96,0.148914479,,0.05060155,,0.046634388,,,sign reversed for time measure,Conventional / standard,1.0,False,False,7,3,False,0.148914479,False,Gait_speed,time,,10.0,False,False,11.217176560971126
411,118,olawale2011,olawale,2011,exp,263,CPT + treadmill training,http://www.ncbi.nlm.nih.gov/pubmed/21427155,nigeria,,lagos,51.0,51.0,51.0,1.0,84.0,,56.8,6.4,306.0,<1year,0.838356164,0,,,,,,,,,,,,,,,,,,,,,,,2.0,10mwt SSV,le,,speed,lohse,1.0,0.0,20,30.56,10.73,,20.0,23.83,11.08,,,,,,0.5,-6.73,10.90640408,,10.73,0.617068646,,0.96,0.5923859,,0.059519343,,0.054853026,,,sign reversed for time measure,Treadmill / BWSTT,1.0,False,False,7,3,False,0.5923859,False,Gait_speed,time,,10.0,False,False,10.906404082006132
412,118,olawale2011,olawale,2011,exp,264,CPT + overground walking,http://www.ncbi.nlm.nih.gov/pubmed/21427155,nigeria,,lagos,51.0,51.0,51.0,1.0,84.0,,56.8,8.3,321.0,<1year,0.879452055,0,,,,,,,,,,,,,,,,,,,,,,,2.0,10mwt SSV,le,,speed,lohse,1.0,0.0,20,29.3,10.6,,20.0,20.03,8.38,,,,,,0.5,-9.27,9.554695181,,10.6,0.970203635,,0.96,0.93139549,,0.073532377,,0.067767439,,,sign reversed for time measure,Overground / gait training,1.0,False,False,7,3,False,0.93139549,False,Gait_speed,time,,10.0,False,False,9.554695180904517
424,121,outermans2010,outermans,2010,ctrl,269,low intensity physiotherapy program,http://www.ncbi.nlm.nih.gov/pubmed/20719820,netherlands,,utrecht,9.0,9.0,9.0,1.0,28.0,,56.3,8.6,23.5,<90days,0.064383562,0,,,,,,,,,,,53.2,,,,,,,,,,,,6.0,10mwt,le,,speed,lohse,0.0,1.0,21,1.4,0.5,,21.0,1.4,0.4,,,,,,0.5,0.0,0.452769257,,0.5,0.0,,0.962025316,0.0,,0.047619048,,0.044071081,,,,FES / e-stim,1.0,False,False,7,3,False,0.0,False,Gait_speed,native,,10.0,False,False,0.45276925690687087
425,121,outermans2010,outermans,2010,exp,270,time matched high intensity physiotherapy,http://www.ncbi.nlm.nih.gov/pubmed/20719820,netherlands,,utrecht,9.0,9.0,9.0,1.0,28.0,,56.8,8.6,22.5,<90days,0.061643836,0,,,,,,,,,,,53.0,,,,,,,,,,,,6.0,10mwt,le,,speed,lohse,0.0,1.0,22,1.5,0.5,,22.0,1.7,0.5,,,,,,0.5,0.2,0.5,,0.5,0.4,,0.963855422,0.385542169,,0.049090909,,0.045606303,,,,FES / e-stim,1.0,False,False,7,3,False,0.385542169,False,Gait_speed,native,,10.0,False,False,0.5
446,128,park2011,park,2011,ctrl,285,routine physical therapy,http://www.ncbi.nlm.nih.gov/pubmed/21245205,south korea,,daejeon,20.0,20.0,20.0,1.0,28.0,,56.9,7.79,860.1,>1year,2.356438356,1,,>25,,,,,,,,,,,,,,,,,,,,,1.0,10mwt,le,,speed,lohse,0.0,0.0,13,0.45,0.19,,12.0,0.5,0.23,,,,,,0.5,0.05,0.210082799,,0.19,0.238001398,,0.936170213,0.22280982,,0.079101718,,0.069325906,,,,Conventional / standard,1.0,False,False,7,3,False,0.22280982,False,Gait_speed,native,,10.0,False,False,0.21095023109728986
